Station_id,Station,Latitude,Longitude,Elevation,coast/inland
42182,NEW_DELHI-SAFDARJUNG,28.58333333,77.2,215.7,1
42027,SRINAGAR-1,34.08333333,74.83333333,1587.12,1
42111,DEHRADUN,30.2833,78.0833,620.72,1
42348,JAIPUR_SANGANER,26.81666667,75.8,382.7,1
42368,LUCKNOW,26.86666667,80.93333333,113.51,1
42701,RANCHI,23.31666667,85.31666667,646.2,1
42971,BHUBANESHWAR,20.25,85.83333333,29.48,0
42816,KOLKATA-ALIPORE,22.53333333,88.33333333,7.22,0
42299,GANGTOK,27.33333333,88.61666667,1552.46,1
42308,ITANAGAR,27.1,93.617,349.55,1
42410,GUWAHATI,26.1,91.58333333,47.85,1
42654,GANDHINAGAR,23.23333333,72.71666667,81.4,1
43003,BOMBAY_SANTACRUZ,19.11666667,72.85,18.25,0
42667,BHOPAL_BAIRAGHAR,23.28333333,77.35,512.41,1
42867,NAGPUR SONEGAON,21.1,79.05,304.57,1
43128,HYDERABAD_AIRPORT,17.45,78.46666667,524.12,1
43295,BENGALURU,12.96666667,77.58333333,912.07,1
43279,CHENNAI/MINAMBAKKAM,13.0,80.18333333,11.85,0
43371,THIRUVANANTHAPURAM-1,8.483333333,76.95,9.24,0
43192,GOA_PANJIM,15.4833,73.8167,6.47,0
42339,JODHPUR,26.3,73.01666667,269.51,1
43283,MANGALORE,12.867,74.85,34.27,0
43149,VISHAKHAPATNAM,17.71666667,83.3,27.39,0
43180,VIJAYAWADA,16.51666667,80.61666667,23.58,1
43063,PUNE,18.53333333,73.85,551.97,1
43353,KOCHI_(COCHIN),9.95,76.267,1.14,0
42634,BHUJ-RUDRAMATA,23.25,69.8,105.97,0
42543,UDAIPUR,24.58333333,73.7,570.58,1
42675,JABALPUR,23.2,79.95,402.74,1
43321,COIMBATORE_PEELAMEDU,11.03333333,77.05,391.4,1
42483,VARANASI,25.3,83.0167,70.73,1
43303,VELLORE,12.91666667,79.15,390.49,1
42492,PATNA,25.6,85.16666667,50.59,1
42165,BIKANER,28.0,73.3,221.31,1
42782,BILASPUR,22.1,82.16666667,270.12,1
42056,JAMMU,32.6667,74.8333,281.64,1
42034,LEH,34.15,77.567,3362.8,1
43344,TIRUCHCHIRAPALLI,10.76666667,78.71666667,81.54,1
42840,SURAT,21.2,72.83333333,16.7,0
42619,SILCHAR,24.81,92.8,21.41,1
42830,PORBANDAR,21.65,69.66666667,3.36,0
42328,JAISALMER,26.9,70.91666667,235.22,1
42361,GWALIOR,26.23333333,78.25,201.78,1
43021,NANDED,19.0833,77.33333333,387.56,1
42883,SAMBALPUR,21.46666667,83.96666667,152.23,1
43245,NELLORE,14.45,79.98333333,18.2,0
43121,KALABURAGI,17.35,76.85,472.85,1
42851,JALGAON,21.05,75.5667,198.7,1
42065,MANALI,32.26666667,77.16666667,2192.34,1
42603,BERHAMPORE,24.13333333,88.26666667,18.01,1